D3H4S4DQC8;HQH7HJSKD7
H7S7CQC10D8;DJS10CJS3DQ
S3C7S8D2S6;D4C8H2D7HA
D6S8HKSJH4;D5DQS4CQHA
C3S9D2D6D4;H2H7CACJC8
H8S9H7D7S10;HQC8D6C10D4
DACJH3SJD9;S4D5HAC8DQ
H9H3D7H6SK;H7CKD4HKSQ
CKC6D2D5S2;C3C8H2C9D8
H7H10H5D9H3;D5C10SQH6S10
SQS6H8S7D3;HJC4D7D9SK
S5H6CQH10DJ;HQC10C6D8S10
S10D5S7HADJ;H3H5D8C7D4
D7D10S7DJH5;S8C10C5CKDK
S7H8S6C6S8;D3C7HJCQDK
SQH8D10D2S7;C7D7C3H3D6
H2S8D3CAC3;C8H6HAC4CK
SQCAC5H3D3;S3H9S6C8H6
CJH7C2S5S7;D2CKH2D4S6
C9S8SQH9HJ;S6C6C5C8D5
HJSKC10H7D10;C9DQH8S8S3
C3H10C8H8DJ;C10S10H5CKHJ
S7SQHJD5D7;DJD2C2D9S8
C7S2C2D7HQ;H3S5C5CASJ
S2S5HQDAC5;DKHAS3SKDJ
D2D5H9HKC9;C6DQH6S7C7
S5C3C7C10H2;D6D7HAS7D8
H9S2DKD4H8;S4H5H10C3D3
S3DQHKS6S9;C8CAD3HAH10
CJS7SQD10D6;D7D5C3S8DA
S4D5D9C4S3;S2D10HQC10CK
H10H4S7H6C7;CKC8C6H7D4
D10H4DAC3SJ;CKD3S10DQH8
D10D8H2C2CQ;SJCKD7HADK
SQC7S2SJS7;HJS3DJHQS6
S8D9S3C9H5;H8D3DAD2HA
D8DACJC8DJ;HJS10H6S9H5
H6CQD7D10H4;D5D8DQH5H2
C7S4D6CQD4;H8HJS6C4HK
D5C9H3H4D8;C3H9DQHAD6
H7H10H3H4C4;D2S6C2CAHQ
H9D9D6C2HK;SQS4HJS6HA
C4HAS7C5S8;H9DJH3S9C8
CJHADJDKDA;H7CAS3C6HQ
HKH8S7DQS6;CKH9D5S4C6
D9S4C2SQS3;H4D10DJH10S2
C4S3H2C5D2;C2C10D4SJS4
SQH6HJD3S6;C10C9D10D7H3
H2S9C3SJH10;S2D4H5HJC5
C9S2CQSQC2;HAC5DKH5S6
CKC8D7SJDJ;S6H5H2H7C7
SJCQC9D6D2;C2HKS2H7H6
D10CAS9C8DJ;S10C3H5DKH2
D4H8S4HJS3;C6S7D10H4CK
C9H9HAD6C6;C2H4C7D2DA
CJD8D2C4H9;S6H10H6D10HK
H7S4D9C3H10;CJSKDJH2D2
DKDAS2H5SQ;C10D4H4C7D2
H9H10HQSJC4;DKCJD10HKCQ
H7H3HAD6S8;DKSJD7DAD10
D5D8HQC7S3;S5H4DKCJHA
D7D9S8S4C3;C10HQC6D3D10
H9SJS4H8SQ;CJC4C9CQS10
CAH2S8D5DJ;HKSKC2S5C10
H9CACQS9H8;D7C8C2H6S7
S5HJDAH3H5;S6CAD5C4S4
H8D8CQS2C6;S9D10DKCJSQ
S4D7DAC10H2;SKH7CJC3D10
HQD9D5H3HK;CJHJDJS10D6
D10S8D9H5H3;C3S3H6D2DA
S10HQH3DJH10;S8C5D6C7S9
D10C5D4H8H10;HQH5CKSKH2
H9D4C2CJS3;D6D9H2C5S6
S6CQS7C10CK;S10D2D8SKH10
CKC7S9DAH6;D2HQSKSQSJ
C3C6CJH9C2;D5DACAHAS4
DKHKH10S8C4;C7H7DAS7H2
S2D9D6C6C7;H6HKC4D2DK
S6S10HADKS9;HQD2D6S4S7
H8S10C6D4D5;SJS8S7DQC3
C5C3C10D3CK;SKCQH10C8H6
DQC10D2S10DK;C7SKH10H8C3
S2S8S6D4H7;S4SQH5DACA
H10H6DJC9D2;D5D3C7C10C8
HKD6D2CADJ;SKH9S3CKHJ
C2H9DAD2SQ;H5D8D7S8SJ
D10CQDQSQC8;S8C3H9H10CJ
S4C4H5HJH9;H7C10S2DAHK
HQC5D7S7C2;DQSJD10DKSK
D3D2S8SKS2;D7H7SQD6D10
C9S8C6C5S6;C2S3D5CQH9
D7DAC6H7S4;H2C3C2D5D4
HQDJS4H6C5;SJS10S3CKDK
H10S7CJHKSJ;D6HQC2D2S10
H10DKS6DJC10;C9S4C7H8CA
D6H6H10DJH2;C4H9S2D5S3
C2D3S5D7H5;CQDKD5CKHJ
H4SJC5H9H5;HQS4SKDQHK
H10S9D3C3D8;H7HQDKDJH9
CAS7C9HAD10;H6HKDJCQH4
C6H7D3H10C10;S10DKCJH9HJ
C7C2C9D8CK;DQD7DKS8C10
HKD4S4CKS7;C3H4S10SJD10
D9H10D8CAS9;S10H6H5D7S5
DAH10H5S7CK;CQS10C10C7H9
H5S4C3C9H7;HAC2C8SKSJ
H9D9SJS6DQ;C5D6C7C9H8
D6DQC6H4H10;C10HASJS9SK
CAH9CJDAD7;H6C2H3S4D10
H5D7S6D3S4;C5H3D2HJD4
CKH5C9S9S4;DJCAS7SJSQ
C8C6D9CJHA;D4C5D3H2C9
H5HAD6S7DK;C6SJDJD10S4
CAHQCJC9D5;DADQH6D9H4
SJH9S2S3H10;H8C8DACAS5
DAHJD5H9D7;C4H2H8H7C5
C6H2D3DQH10;D9S2SJD10S9
S6S8SJH3S2;H4C6H10C7HK
CQSKD3D7H5;H4C7HAC2S8
S2CQC8D6SQ;D2HKH4CJD10
D6SKS8CAC9;D9DQDAS9H10
H8S9D4D8H5;C6SQD5HJHQ
D10CJDACKHJ;H3H8C5C7HA
SQS4DKCKD3;D10D9DJC3D7
S9S2HJD7CK;H6HACQC4C2
C4C6SJHKC5;HJH3H6S7D4
SJS4H5H7SK;C4S7S8D5C8
HAD4H3C9S6;H8CJDKH9H2
HJD2D9HKCQ;H9S5S6D10C7
DKHQH4S2HA;S8HJCKSQH3
C6C10SKS4S3;D6S9D2H2H6
CJDJH2D9H6;CAC10DKH8DQ
HAH2S8HJS2;C10SKSQC8H9
H3S5DAHQH10;D10HAS2CQC7
C9DAS2CAS5;SQD6DJCKDQ
SKD4D8C6D3;DJD2C4D6C3
CAH4S4C4D9;DQSJC6H10S7
D9D5C4S4S9;DKC2S3DQHJ
H3SJSKD9C3;H5D7C9S7D6
C8H5D10CJD9;C7S2DJS6D2
H9H5S3SJH6;C4S10HQD4SQ
HJD5S6S5H2;CASKDQC8S10
SQS4D8H5SK;H8C6S9HADA
D4S5D9S2H4;DKHJSJDQDJ
HQHJD9D6H8;C10H2S10CJC4
S8H5HKC10S2;S4CKS7DKHQ
H5S8SJH6CK;SQS9H8H3H7
DAS2S3DJD4;S9CKDQD6D10
D8D3H9DQCA;S10S2C2C8CQ
C3C2S3CQH2;C4D10DQC10H5
H4D6C3S6C5;S2D9HKC8DQ
C2DAH4C6D3;S6CJHASKD10
C2H9H8S6CQ;DJD9C9SKHK
DQC3S3D5S7;H2SQC7D10CJ
D2S3H10DJS9;C6CKH2SQC10
D8D2D7S8H2;H6CKH4S4H7
D4C8CJD7C5;D9H7H2S4S7
H5D2CAC8S6;D5SJD8C7S9
C5S3C2D10S5;D3H9H10H5S2
C2S7C8SQS2;SKD2DJH3D10
HKS5D6SJHQ;H5DQD5H7C9
HKS4S5H8S9;CJD5H10SJD8
HQSJC8CAH2;HAD4S4S5S3
HKS10C8H7HJ;D6H6S5S8D3
CKD9D2CACQ;D3S3D7S5S4
H3S6C8D9D8;C7C6S3D5H7
C7H7DKCQC9;C2HAC3H5HJ
H8CAHQS6HK;C6S8D4CQH4
H6C4DAC3CK;D8DJS9SJHQ
C8HJD6H7H8;S4S8S10D2S6
H10S4D6DQD2;D3SJD4HKSQ
H6C6DJH3H5;CADKC3D10HJ
S5D8S10D9D3;H9SJC10SQD2
S6S4DQS5H4;CKDAC2D5C5
D7DQH5S4SK;CQHKH10CAD9
S4D3D8DQDA;S3H5C2S5S10
C9S9SJC6S2;C5DJS5S8DA
H2DAHQHAC10;C2CAHKC3C7
C3S6H9CKD3;C10CQD10S7D2
S8H9HJH10H5;H4CAC6DAS3
DQSKS8CKH7;C2S4H5D10D5
DKCQH6S5DJ;H3CJHAH7C7
S7CJC2D2D8;C9CKH6S10DQ
H4HKC3H5S4;H2S7D5H6HA
C10S6DKH7H2;D7H6S7H4C5
C6C5C10HKSJ;H2CKS7CAH3
D2C6C4DJS4;SJHAS3HQH6
DAS7CAHAH6;H4C3C5D5SJ
DKH2CKDADQ;C3C5S10D5S5
H2CAD2D9HA;HJCQC6C4D7
H2H5C8HADA;C9S8D9DKC2
S8D9H9HJS10;C4S4DQH10DK
C2D8C5D6H10;S6C10CKHKD4
H9D5H5H2SJ;DAS2C6D7HJ
HQH7D9S9DA;C3D3C10CQD4
H7CQDACJC5;HKC6D4D2HJ
D3S3S7SJD5;HJS10DAH5C10
S6D6SQC7DK;HJHQD2DJD9
C10H4CKS8H9;S9C3DQS7SK
CQD3H7C8S3;D10S10C2HJC6
HAD8S8CKCJ;DJSJC3D9DQ
C8S5CQC5C3;D5SJC7S6H7
HJS7C6H10CA;H3H7SJH9C2
H7H9C5H10D9;C4H5D4CAS4
DKDQC2S10CJ;H5SKSQC5C4
S4DJSKCAH9;H4C9CJSJCQ
D3CQS7DAC3;S4DQHAH5DJ
SQDJC4H3H9;S8H10D2SKH2
DJS9D8C8D9;S8SKC6CQHQ
S8C8H3D3H9;S3D2C6C9C2
CQSJC6S2C8;SKC5D3DKH10
S2HJHQD2H2;SJD7H10DQS9
D4D9DQS3HQ;D2C7CAC2HK
SJD6HQC5D2;S2S8H6C3C6
D2S2CKH4S5;CJSKC5S10DQ
H10C4D10H9D5;D2S9H7C6S5
S2D8D2S8H8;CQD5D9CAC5
HJD2SJDJD4;H5C7H7S8DQ
H5S4D8S8C10;H4SQCJC3DK
H3S6H10C9DQ;D2C4CKS4C6
D4CQS2DAH9;C4C6C7SKS8
H10DQHAC4H4;DKHKC2D4C10
D6S2H7S9H6;D2S3CQSQS5
C5D8CJC9D4;H6DJC4H8S10
H2D7SQH4D3;S5H7HQDKH8
D2HJS6H7H9;H3C8C3S4H2
DJCQS9D2H7;C10DAH2HKSJ
H5HAC8DJH2;C5CAH10H8H7
H5S4CJH3H9;S9SQCAC9DJ
D9CAC9CJC3;S3S2DQSQD10
H6S6C6DAC2;SQC5SJH4HK
H3S8C2CQDK;C9DAH6H7D7
H8S10DJCQD4;D9H10C5D5S5
SKHAD5C8C9;D3CKS10CJDK
D10C10D3CQS3;C8HQH7H5D9
H7DQCAC6C5;D7HQS3D9H8
CQDAC5D8SQ;S7D5CKS5H8
SQSJS7DAD8;C9H7CAS5D6
C5S8D8C3HJ;H10S7H7HKS3
H9D7D10S5C4;D8C7H8H5C8
S6HKD10D2C7;S3D9D5H10S2
S7C2H6H3C8;S9HQH10D9DA
D3CADAD4H6;DQSQD6S10SJ
S10C2H9HKH2;D7DKD8SJCJ
H2S4H4D3C8;CQCKC3C6S10
D6C10C6D2DA;CJC7SJHJH7
H2C4S8CAC10;HACKC6D3SJ
S10S2H9CQC6;D4DJS5SKDQ
S8H9S4C9D9;C10HQH10S7DA
SQDQH5C7D2;C9C5C6D4C8
D10S5S2D6HK;C6D4CJD5C9
H8C6DJCQD5;SQS10CJC2D6
C6DKS10D6H9;DAHKC8D10H10
C9H2H4S8DK;D7C5C10C8S4
H9C6C2D3D10;C9S2DQCQD8
C10D6D5H8S3;H5CAHJD4D7
C2HJS7DQC6;H4S10H7C7S6
S2H6S9C9C10;H8S7C5C2C3
CAS8S10SJH5;CQD5H3H9C5
H8D4D9HQH9;D6C10C5S9H6
S9S3D9C9HQ;C3C10C5H3S4
HAS5H9H6HJ;H2D4S4C5D8
CAD10H10HAD3;H6H3H4C6CK
SKC5S2H10S5;D5H5SJS3DA
H3C3S5D2DJ;D9H5HJH6D6
SQH2D4HKHQ;C3DJD9D7S9
HJC10C5H2C4;S10C2S4CJCK
H3H7H4C4D7;C6D6S7D8D9
S9D2D6DAS6;C7C5SKDQSJ
DQC6D4D3SQ;H4H5CQHAS5
HJDJD5SKS8;S5H4HKDKSQ
C5D2C8DAC2;D5S4H9CQH6
H5H10S5HACA;D4CJCQS6H6
C6D3H4D7S8;CJD10S9C2SK
S10C5D6C7S5;S8SJCQSQHQ
CJS6DKSKCQ;SJS8D4DJC8
H7S3S9D4DA;S4S6H9D5C2
H2DAC3C10H10;DKH4H6C6CK
DQH4D9S5S8;D3D4C9H3DA
S10CKCJD9S2;S4C2D4H5H8
H2S9SJC2D5;H9H7D4C6SK
S4D6H4C9C5;H9H5S2SKC3
D9SKSQDQS5;C6H4H9DJD10
DJD8D9SKD5;H6C8S4SJH3
C6D6D4HAS6;DJS5S3C2S9
D3C10S9DAS10;HQCQD10S5CK
C8C9D10D4CJ;S5H4D3CADA
HACAH2CKHK;SKH3S10DQH6
D4D7DKCASK;HQH6S8DQHK
C10S10C4C9H5;DQDJD10SQD9
CKD3D8S3HK;D10SQC5C3DQ
CKHAH10D5S5;S4DAH7H2D9
S6S2SKH4C5;D2D10S3H7CQ
D4SJH4CJC5;SQDQS8DJH8
H9DAH7S2CK;H10C2C10D2S6
D3C9H2HJC6;DQC5H4H5H7
H7S10D9C9H5;C6H3HKD10SJ
H10D7CKCAH8;CQH2D10C8HJ
D3DAH10S10S8;H9D10DKC5H5
H9C2C5D3H2;C10H10HKS5H8
C10H9D7SKD10;C9S9HQD5C6
D8C7SKS3H4;H9H6D2C10H2
H6H5S9C4S2;HKH2DJD8H9
SKS8H3D4C6;S5D2H5H8D3
D8C5H4SJH9;S7D6S5D9D4
HQCKC3D3CJ;S6H6S4C6C8
CAH3S2S10C3;D10SJD8D3CJ
C2D4D5C9HJ;S8S10C3SJH7
DAD6D8D2CJ;HJDQS6C8C10
C5D9H6S4S9;DQD2D5HJCJ
DKCQH7S10DJ;S9S6HJD9D4
D5C6DKS2S6;CAD3H2D9C7
CJH9SKH8D8;S5S9C5HAH10
S7S3C2CJDK;C7H9H5S8C8
S8S7C8D10H9;HAD4C3CAS6
D7S7S4D10HA;H5DAHQD2C4
H7C8SQC7HQ;S4C9S7S6D7
S8C3S2SKH8;C5C4H4HAD6
S4C8DQSQS2;CJDAD2C10DJ
DQH5S7CAC6;D7S2C2S3DJ
C3SJDJD3H2;H10C5C4D5D7
CAH9H3CJD4;H8S2CQHASK
S3H9S4D6C7;C5C3H6D5H10
SJD4D3HAS5;DKDQC9DJDA
H3H2S8DJHA;C2CKH4D10S10
D9HAC6H8S5;S2S7DAH6D4
D3CKD4C5H9;S4HJS5S2H3
D8H8S9H6DK;H3C3S2C4SK
H9S2C4HAS9;DJH3S3SJDK
C7D6DADJCJ;H2H6H7H9S2
D6HQHADAC5;D5S8H7C3SQ
D9D3H3SQDQ;D2HJDJC10D4
D5DKH9D6S2;D3S6H6C4H8
C3SJH5S10CJ;C9DKCAD10D9
S6D2D9SJHA;H7D5D10D7D8
D10S8D5CKD4;HKC2D8S10D9
S7D10C6H4H2;H8C7HJD3D2
H5S5HQDAD4;C6HKS3H4S4
S10C6H6D10S2;SKC7D8C4C5
D2D5D6HJDK;CKH7D4C10DQ
DQCQH2HQCA;C10C4H3SJCK
CJS6CAS10HJ;D4C6DKC10D8
S7DJH10CAH5;D10H7S10C4DQ
DJH5H7C8C3;S10DQH10S8S7
D10D9C5DJC2;DAHQCQCJD3
D3H3C10DAD10;H5S10H8H7D4
CAD3D4S4SK;C2H8H10SJDJ
CKD8CAH3S3;HKD2C8H8SK
HADADKC10S2;H9SKH10CAHQ
H4C6D7C3D5;S5C5S8HKD9
HQC2DKDJS9;H6H4SKC3CA
DKD9C5DAC8;S6HQD6DQS10
D6H4D4S3H9;HAH6DAH8D5
H7S10S2C8HQ;S4CAH5D8C5
H6CJCAC3D4;C6SJC10H9DQ
H3CQCKS4C7;H9H6HJDJD10
D7D3S4SKH7;D4S9S6C8C5
H4C8C7CKH2;C2DAD6D4SJ
CJSJH8SQD9;D6C4H10S7H3
C3H8C2SJH4;C8D7C5DQHJ
HKCAHQD2CQ;C5SKC3S10CJ
C8D6SQC5H7;H3DQSJC2HJ
C7HKS5S8C2;D2H8C5S3C9
C3CKD10SJS9;H2H9C2S6D4
S8H2CQS10S6;C4D3S5H7C2
H4S4H3C6C5;D10C3DKH7C9
S8SKC6C3S4;H8D4C4D5D2
H3CJH4H6SK;DKSJHQH7HJ
D3D5S6C9CA;HJHAH9H7S2
D9S7H7H8DJ;C10S4H2D4C3
S7S8C7CAS4;H8H3S5HKC5
C7SQDAD3S3;S2C9S7HAS9
C8H9H3DAH6;SJS7H8SKC5
S10D3DJSJDA;DQS9C9C8S2
H5DQH7S4CQ;D2D4H3D3C5
D8H8S5H2H9;D2S2S8C8HK
D10H7C7H4DQ;SQCKH9HKC2
HKD3S7C10S3;D7SQC4C5C8
H8C3H2C8S2;D5D6S8H10C5
HASKHKH3CK;S10CQCJD7C3
CAC7S3D3D8;D2HKDAH7DQ
S6CQS4S2SJ;C6S9C4HAH5
C3H10S2SJS6;D9C10HACKHJ
HASJH2C9H10;S2H5DAC7S5
CKH6D7S3D6;S7C2C4H8H5
S9H3D9S5HJ;C6DAS2C4D5
H4D3SKC2C8;C4SQHJC3H3
SJH6C10H9C9;D5D2S9D6H8
H3S2D8HAS4;H5D6H9DAS3
SKD9HKC3CJ;H8S6HJC6C7
SQCQH4CJS8;S3C5D2H2DA
H6C2DJC5D2;D3S3S4C4S2
DQH9HJSJH4;D8H7S5HQD10
D8D3H9D9S4;S8S7D7H7H5
D5H8S2CJD10;S4D7D6C7SJ
D7CASKD9H9;C9CJH6S9H4
DJD9C8H8S10;D3C9C4HJC3
H3C7DAC8C2;HQS4SKC10HJ
C2DJS3C10C9;C6CQC7DQH4
S5D7DKS2H10;C2CAHQC7DJ
S2D9C4S8C8;CKCJHJH8C9
C2DAD3C3S10;H10H3HKC8C10
C3S10D7H9H2;HJHKDQH3H7
C7DJC3H5D3;S5HAC5S4H6
CKCAC4S8C10;S4HQSQSKC6
S2C5CKH4HK;CQC7DKS8S5
CJS6DJS8D7;H5C2S9C3H8
CQHQH7S8D8;C10H9HJD7CK
H2C8H6D5HA;H8CQHKDKD2
D8D6C6D3SQ;S3C4S5HKC3
S9D7D3D6S8;SQH2CQSJHA
D9H8D5CKC4;D7CADQC7D3
D7H5C5S3CA;H10HJD2S8SQ
S5H9S9SJCQ;D10D5D3SQDK
C4S2HQD2D7;D4C6H2CKSJ
HKC5D8CKCQ;D7H10D9DKH3
H10S5S10DQH7;D8DKD2D9CK
S10D3D7H5H6;H7C2DKHAH8
DJS9H5C7H3;S3DKDQD10D2
CQD8S8HJH6;C9C8DQD2HQ
H5D2DJS4S7;D3DQHQH3H7
D5HAS10H9D10;D7S7C2H6S6
D2C5S2SQCA;D4S7C9HQH10
H3CACKHAC6;S6H8S2H5D2
H4D9DASQH7;S2H3H6C7CA
D6C9HAS9CQ;S7DQHQS4H10
HAD5C8H6H2;SQC4D4HQHK
C2SKH6DAC3;S3CJS7HJS10
CKS5DKD8D10;SKH3H6DAD9
HQH5C6S8DA;H6SQHKC7H4
D6DAHQS6D2;C8HJD10DQC5
CQH6C8DAD2;S7S8C5H5C3
H7H10DAC7C5;CJC9D3D4S3
DJD3C2D4DQ;D8H5DAC8H4
CAH8C4S9H10;HKDQCKS5D8
H10C3D3HACK;D6S10H3DKC4
D9CKC7DKS8;S3C6S4SJD4
S4C8H3HJDJ;CJHKC3SQD8
DJHQCADQSQ;D5DAD4SJC2
H7S8S7S4C9;S5HKH5H2C8
D8H4D4SKH10;D6SJDJC7C10
H4C10CQHAH3;H5DJD6H9D3
H2D10DJDKC10;H4CQH3S5C3
H6D8C5H10D5;CQSKD4DQD6
H8S6S2D5S4;C2SJH4C10HQ
D9H8DKD7D5;CAH2S4C5D8
D7S2D10C8S5;HJH6CJC3S4
S6HJHAD3DA;D10H7C5D7C6
D7H9C5C3H3;S6H7H4C2HK
SKH8S4D7CJ;DJH7CKH10CQ
S5D7C7CJS6;C10CQDAHKD8
C6S2D8CKS10;H8D9CQD3C9
H4H8H3H2SJ;C5S7CAC4DQ
C8DJCAH3DK;C4S4H5H2D7
D6CQD2H5CK;C2C8S8CAC10
D8HKC4H8H5;DQCQD3S7CA
DQHAH2S6D3;H9S5C5C8C6
S8S4C9CKH2;S10C4CQDKS3
S8D4S7H7D5;H9H10S5C10HQ
DJC8H6DKH3;HQH8S7CQDQ
S4S6C10D10H5;H2D5S2C6C2
C2C6H8C9CK;S6S10C10H4H3
C3C6HAH9H2;CJS8D8CKHK
H8D2SKS7DQ;HQHJC7D7HK
C7H3S8S7H4;H2S5SQD5SJ
CJC6D7S5D4;S3DKHAC10HQ
C2H2D6C6H10;C4S7SKS9C7
HJC4D10DAC9;D7D6C7SJH3
CJH9S4H5D4;H6HJH2S5D5
C7C5S2H6DJ;S3D3H4H9S5
D4S8S6S3D2;D7D3H3SQH10
D6DACQD7D5;D9C5S5D10H3
C9S9D3DASK;DQCAD7DKD10
D2S4C8D3S7;S3SJSKHQS2
HQCQD7H6C10;DAHJH5D10H4
S3D8CAH4S6;S4H10S8C8SJ
C8DQH10DAC6;D7H4C2D5HA
SKCKC4H7H8;HAS10S6CJH10
C6D7CKS8S3;D8H3H6S6H7
C8CJD5S9C4;D9HAH7D4D2
H4S6D3S7C5;C9C6DKD5CJ
CKH3D3DAH9;CAS9C4SQS5
D8HQS7DQC6;D10S2S3D5D7
S5S9S7H7DK;C5D9H3C6S10
C6D2H8CQS7;H7H3C8S2D10
HQD2H5C9SJ;H8C4D8H9D3
D2S5H2CQC4;H10C6SJD7H7
D10D7H9DJS5;CJCKSJC2H8
H6DQCAHAH4;DKDJC3H5C2
CJS8S7CQHK;DAS5S10H6D4
H7SQHACQD10;HKHQC5DJH4
C9C4HQH8CQ;H4S8HAD5DJ
H7S9H5D6H9;S2C10SKS5CQ
CAH7DAH4D7;S9DKC4D4S7
S10DJC3D9HJ;DAH4SKS5H5
C7D3C2HACK;H10D5C10SJD10
H9HAHQS9H6;H7S8CKH10D3
DQDJD5HQS9;H10H6D2H2C8
SQDQDKC2D3;C8C6HACKC4
DADKH6C8DJ;D2C4S6CQD7
C4S2C7C8HA;S10DAS4H8D6
H5SQCQH7DA;C6DJH8D6D9
H5D5S4CAC9;D4DKDQS3CK
H9H2CJS5H6;S4D4H4D6S10
DAC4S2CKS10;H8D2CJC2H2
D3DKC9DACJ;D6D5HJD10CQ
S9D3SQDACQ;D10D4H6S3S8
H6H8C8D9H9;S6D6S9C2S5
D10S5S10DAD8;C8C10HKHJH3
D8H10C3H3C8;DJDQC9S6D5
C4H3S3DAHK;D3C7DJC9HA
C8H9C2CJS10;CAH7S6D9D7
SKDJC7S7D7;D3H9CAS9S8
H3H8C4SKD6;C9S3CQD8HJ
C2C3C8C7H3;D8D5D7D3S7
H5CQD3H2D6;H9D4D10D8S7
S3H8CAS4S2;H6CJD8D10SK
S4H3S2DQHK;HAS6CQH7C7
D7H7C2HAS7;DKC7D5H5H10
H2DQS10D6D7;C10H4S6D10H9
DAHAS7S5DQ;H2D3D9H7CA
H3S7S6DJC9;D8D9S5D7CK
D5C4H6DQC3;D7C8D3HQDA
S3H6C8S7HA;C3D8D9D10HK
H5S3S2HADK;C10D5D10SJC7
S6HKH8C9C5;C10H2S2H6H9
S10S6H9D4C3;SKH2DKH8H10
H2CKD10H10S10;D7D4H4D2S7
D9DQC8C2CK;CASQCJC5D4
C3H5S4H2H9;CKS5H10HKCJ
H9D9S9HQDA;S10C8DJD10CA
D9C10C9SKH4;C4D5DAS9SQ
SQC5CQS3C4;DJD3S4C8C3
DJHJD2D9S2;D4C7HKC9D8
H6C3C10C9S10;D7H5D9D6H10
C10HKC9H9SQ;CKHQH3S9D7
C6S8SKHAD5;CKC9CJC10S10
D2S8H3D6C4;C10HQD10DJH7
H9SJC7S4D6;C4H10S6DKS7
H2DKH9H6S2;D10CAS4D5SK
H8S10H3DKS2;C10DQS3CKHJ
S9S7HJHADK;S6S5C10DJCQ
D9S5HKS4D7;H10HJS2CQS6
HQH7C5D3CQ;CJS2DADQSK
D6C9CAHQDQ;C5S10CQC3S5
CAHKC4DAD9;CQH6HQCJC7
S3C9H7D7D8;C10DQCAC2H10
C7SKC6H2C8;H8C10D10H7CK
DJHKCAD7D4;DAH8SKS10H10
S5D2D6HKCQ;D10HJHQDQH6
S10D4H9C8C3;C7S7H6DAD7
S10S5CKD5C8;DQD9C10SKCA
H8HKC2CJS4;H9S10S2H10S9
D3S4CKCASK;D7S10D4H6C9
D6H8H7D5SK;C10S6C3D2H2
CJH7H10CAH3;SKC4D3HQDQ
C2DQD7S2HQ;D3D2H7C5C4
H4C10DAH10H6;C9C6D3C5SK
DQHKH2C2H8;SKD10D8CJDK
H10H7H2S9S5;S6C8H4H3DA
SQS3H2D4C8;H3D8C7D2HK
D5CJC10CAC9;D9C4HAC7C3
SJCAD2CJC3;H9D5D6C9D9
CAH5C2H6S10;C6CKH2S7C4
HAS5S2H4DJ;S10H10S4H2SQ
DJC5D9C3S5;S10C7HQDKD8
DQC2H9SJC8;CQH3H7HJSQ
DAC5S9D4H3;DKDJC2S6CJ
DJC5C7S7DA;D9H3H5D6D8
H9C7C5H8D5;DQS4HJS3C10
CQDJH7D7S8;SJHAC6C7C4
C6C5CADKH6;H4S10D6S2HJ
D6H4DAC4H7;DKSQH3S10CQ
S3HKH3S5SJ;CKS2HJCQHQ
D9C2DQH2H7;HKH4D2H8S8
D9S10C6H8DA;CJH4D8S6HK
HKS8H7S10D9;CKDKC10CQD8
CKS10C4DKD7;SJD10SKH5DJ
